pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Total_Dissolved_Solids_mgL,Nitrate_mgL,Phosphate_mgL,Temperature_C,Heavy_Metals_ppm,Safe_for_Humans,Safe_for_Animals,Safe_for_Plants
6.72,13.15,85.91,659.36,13.72,5.9,8.9,0.206,Unsafe,Safe,Unsafe
7.3,6.86,50.01,865.06,19.66,6.3,34.0,0.092,Unsafe,Safe,Unsafe
8.24,12.87,67.49,58.5,19.39,8.45,29.3,0.471,Unsafe,Safe,Unsafe
6.89,5.86,23.91,163.84,14.34,2.97,8.3,0.266,Unsafe,Safe,Safe
7.68,7.72,75.8,1327.82,13.43,3.54,8.7,0.426,Unsafe,Safe,Safe
8.52,4.71,76.0,162.92,43.05,9.06,22.8,0.171,Unsafe,Safe,Unsafe
8.82,9.69,31.26,1074.87,3.49,9.01,15.3,0.168,Unsafe,Safe,Unsafe
6.01,13.75,41.07,1384.06,33.88,9.76,6.0,0.493,Unsafe,Safe,Unsafe
8.74,9.24,20.97,442.49,8.64,9.02,21.2,0.261,Unsafe,Safe,Unsafe
7.22,6.29,97.66,587.21,17.23,1.27,16.6,0.07,Unsafe,Safe,Safe
6.4,9.77,64.56,874.94,3.08,8.24,8.0,0.11,Unsafe,Safe,Unsafe
7.11,3.48,93.45,1328.48,13.5,4.1,29.1,0.241,Unsafe,Unsafe,Safe
8.93,12.66,30.34,1415.76,38.42,9.91,32.5,0.021,Unsafe,Safe,Unsafe
7.22,8.04,78.19,1122.37,44.25,4.72,27.7,0.231,Unsafe,Safe,Unsafe
6.65,7.39,76.59,175.6,11.08,5.54,29.7,0.209,Unsafe,Safe,Unsafe
7.72,9.03,69.17,1020.27,23.18,5.3,11.5,0.39,Unsafe,Safe,Unsafe
6.34,9.5,96.56,644.94,23.52,3.22,12.9,0.177,Unsafe,Safe,Safe
5.77,2.86,39.36,732.52,43.68,0.75,11.3,0.491,Unsafe,Unsafe,Unsafe
5.95,10.19,13.07,121.27,38.14,8.96,28.0,0.09,Unsafe,Unsafe,Unsafe
5.95,4.9,67.17,327.04,25.65,8.03,33.4,0.295,Unsafe,Unsafe,Unsafe
6.03,10.57,72.93,1196.24,33.54,1.4,26.5,0.045,Unsafe,Safe,Unsafe
5.99,11.87,57.51,708.24,42.37,7.77,31.4,0.367,Unsafe,Unsafe,Unsafe
7.74,11.65,20.68,487.41,0.48,6.26,24.2,0.497,Unsafe,Safe,Unsafe
6.14,8.63,50.45,606.83,20.14,4.09,16.6,0.41,Unsafe,Safe,Safe
6.71,8.24,31.22,1288.88,45.36,2.54,17.8,0.278,Unsafe,Safe,Unsafe
8.64,3.71,42.75,1136.05,37.02,8.6,7.3,0.242,Unsafe,Unsafe,Unsafe
7.16,11.3,64.52,444.86,27.14,7.0,5.9,0.418,Unsafe,Safe,Unsafe
7.84,5.26,74.52,220.38,26.48,5.48,25.9,0.468,Unsafe,Safe,Unsafe
6.1,7.96,23.22,415.4,17.39,6.1,18.2,0.495,Unsafe,Safe,Unsafe
6.17,5.41,40.53,1385.1,26.03,0.91,21.6,0.198,Unsafe,Safe,Safe
5.64,3.61,26.92,893.3,32.77,4.74,21.7,0.495,Unsafe,Unsafe,Unsafe
6.09,9.55,19.86,823.55,20.92,1.94,13.3,0.078,Unsafe,Safe,Safe
6.48,2.65,78.34,914.77,35.71,2.08,19.3,0.127,Unsafe,Unsafe,Unsafe
6.12,10.98,90.93,580.74,43.06,6.61,19.1,0.045,Unsafe,Safe,Unsafe
5.81,5.81,37.02,1220.31,7.73,9.11,16.7,0.136,Unsafe,Unsafe,Unsafe
5.92,2.0,75.13,808.77,22.58,4.04,29.6,0.384,Unsafe,Unsafe,Safe
7.11,8.13,89.7,219.28,20.4,2.08,18.5,0.426,Unsafe,Safe,Safe
6.22,2.56,84.61,237.14,34.37,6.49,23.1,0.389,Unsafe,Unsafe,Unsafe
6.77,5.31,18.28,828.45,12.49,8.71,31.9,0.316,Unsafe,Safe,Unsafe
7.26,10.48,95.63,1408.03,32.01,7.48,31.0,0.257,Unsafe,Safe,Unsafe
7.92,2.75,37.67,497.11,43.87,8.69,31.7,0.354,Unsafe,Unsafe,Unsafe
5.64,12.07,33.92,1310.83,20.91,5.37,13.1,0.195,Unsafe,Unsafe,Unsafe
8.3,2.05,6.24,1157.94,45.55,7.52,6.0,0.421,Unsafe,Unsafe,Unsafe
7.7,4.96,48.62,409.33,49.66,1.4,12.8,0.339,Unsafe,Safe,Unsafe
5.79,10.89,10.9,102.69,5.3,3.48,13.4,0.349,Unsafe,Unsafe,Safe
8.56,5.8,24.85,197.68,11.65,3.9,32.3,0.268,Unsafe,Safe,Unsafe
8.72,3.22,31.69,1106.32,47.52,5.11,24.5,0.443,Unsafe,Unsafe,Unsafe
5.71,6.32,80.88,339.52,47.92,9.29,7.5,0.126,Unsafe,Unsafe,Unsafe
6.47,5.24,87.55,588.34,4.89,8.74,9.1,0.191,Unsafe,Safe,Unsafe
8.32,12.11,30.25,777.46,0.75,1.35,9.7,0.389,Unsafe,Safe,Safe
8.12,5.76,85.87,1101.93,8.06,1.73,23.9,0.246,Unsafe,Safe,Safe
6.15,11.47,85.72,214.19,49.8,3.58,27.1,0.445,Unsafe,Safe,Unsafe
6.23,12.7,76.47,639.23,9.0,2.91,30.8,0.173,Unsafe,Safe,Safe
6.8,7.21,14.67,753.36,25.13,6.15,33.2,0.185,Unsafe,Safe,Unsafe
7.2,12.92,69.03,834.2,42.42,9.03,11.1,0.444,Unsafe,Safe,Unsafe
7.66,6.53,94.5,1236.62,1.02,9.62,14.3,0.232,Unsafe,Safe,Unsafe
6.79,13.57,68.25,298.93,30.22,6.54,12.2,0.258,Unsafe,Safe,Unsafe
7.12,3.07,33.16,1221.36,13.85,8.38,15.8,0.166,Unsafe,Unsafe,Unsafe
8.12,10.24,50.06,1054.67,43.12,5.25,32.4,0.138,Unsafe,Safe,Unsafe
5.63,7.93,64.57,856.01,14.17,2.08,22.3,0.328,Unsafe,Unsafe,Safe
6.38,6.65,51.06,1064.32,34.34,5.25,27.1,0.06,Unsafe,Safe,Unsafe
8.0,9.59,12.0,647.43,33.71,5.55,19.7,0.44,Unsafe,Safe,Unsafe
8.63,10.45,31.21,250.68,11.07,7.42,5.9,0.39,Unsafe,Safe,Unsafe
7.29,2.05,80.24,1015.36,1.74,2.2,6.9,0.095,Unsafe,Unsafe,Safe
7.36,4.0,86.14,810.77,20.46,3.68,21.1,0.347,Unsafe,Safe,Safe
5.88,10.56,13.73,977.09,14.46,3.64,26.6,0.301,Unsafe,Unsafe,Safe
7.07,10.0,95.24,540.1,40.45,9.59,11.5,0.092,Unsafe,Safe,Unsafe
7.36,13.59,32.88,1364.96,40.02,4.44,26.7,0.137,Unsafe,Safe,Unsafe
6.35,11.13,66.23,901.69,22.85,7.55,29.3,0.204,Unsafe,Safe,Unsafe
6.44,13.41,75.18,173.83,30.33,7.51,17.4,0.35,Unsafe,Safe,Unsafe
6.82,10.43,81.19,702.22,30.21,2.66,27.4,0.319,Unsafe,Safe,Unsafe
5.57,5.58,94.57,1146.72,41.36,5.72,17.1,0.266,Unsafe,Unsafe,Unsafe
6.63,3.26,31.29,1201.5,21.25,8.94,25.4,0.384,Unsafe,Unsafe,Unsafe
6.24,11.38,85.85,767.17,13.77,4.75,27.9,0.379,Unsafe,Safe,Safe
6.65,9.73,13.17,1347.38,13.25,9.45,34.8,0.309,Unsafe,Safe,Unsafe
5.92,2.58,70.5,438.12,26.81,2.14,15.4,0.393,Unsafe,Unsafe,Safe
8.62,6.32,74.2,645.37,22.46,0.74,17.3,0.167,Unsafe,Safe,Unsafe
7.58,13.48,67.77,1352.97,22.01,8.91,10.0,0.441,Unsafe,Safe,Unsafe
7.88,8.0,25.23,1349.57,4.56,8.48,11.1,0.307,Unsafe,Safe,Unsafe
8.26,7.19,87.3,1044.28,35.93,9.93,25.8,0.411,Unsafe,Safe,Unsafe
7.24,7.49,16.89,1295.52,10.69,6.79,32.5,0.273,Unsafe,Safe,Unsafe
5.8,4.51,5.36,178.72,9.85,9.37,16.8,0.109,Unsafe,Unsafe,Unsafe
7.38,6.42,71.75,1304.24,20.64,8.27,10.4,0.271,Unsafe,Safe,Unsafe
7.55,6.44,47.55,514.9,11.39,8.44,13.6,0.186,Unsafe,Safe,Unsafe
8.11,2.63,84.91,308.58,29.19,5.69,18.7,0.349,Unsafe,Unsafe,Unsafe
7.01,11.21,38.34,397.09,18.57,3.82,13.7,0.238,Unsafe,Safe,Safe
5.95,7.0,16.83,656.05,22.45,9.35,12.0,0.418,Unsafe,Unsafe,Unsafe
6.49,11.87,83.64,414.23,26.86,4.32,27.1,0.339,Unsafe,Safe,Safe
6.77,12.2,54.89,514.82,10.18,5.39,5.2,0.342,Unsafe,Safe,Unsafe
7.76,4.54,18.92,245.72,7.79,4.46,21.2,0.109,Unsafe,Safe,Safe
7.5,9.89,72.04,479.46,44.02,5.65,28.8,0.492,Unsafe,Safe,Unsafe
6.75,7.67,51.11,879.81,21.69,4.71,13.0,0.421,Unsafe,Safe,Safe
8.95,12.56,60.43,690.69,20.6,0.48,23.1,0.395,Unsafe,Safe,Unsafe
7.62,4.59,46.09,552.74,1.78,8.82,25.1,0.165,Unsafe,Safe,Unsafe
6.33,10.13,82.87,1132.36,24.9,4.44,24.7,0.268,Unsafe,Safe,Safe
5.86,9.29,82.96,1345.59,27.71,5.89,18.4,0.069,Unsafe,Unsafe,Unsafe
6.04,5.54,70.94,1147.34,27.94,1.39,15.4,0.269,Unsafe,Safe,Safe
6.36,3.64,10.54,531.4,35.35,0.03,30.1,0.073,Unsafe,Unsafe,Unsafe
6.06,9.82,83.89,1129.44,8.87,2.45,27.8,0.277,Unsafe,Safe,Safe
6.15,10.86,67.1,270.37,12.61,7.05,14.6,0.324,Unsafe,Safe,Unsafe
6.5,5.79,69.7,238.96,40.54,0.99,8.1,0.195,Unsafe,Safe,Unsafe
6.11,9.74,36.3,551.16,47.36,9.09,7.2,0.249,Unsafe,Safe,Unsafe
8.64,6.74,87.93,1221.17,6.8,2.15,7.8,0.438,Unsafe,Safe,Unsafe
5.78,10.56,72.54,407.2,24.88,2.05,22.5,0.054,Unsafe,Unsafe,Safe
7.34,4.39,11.26,141.72,10.71,1.82,6.5,0.396,Unsafe,Safe,Safe
6.94,12.68,40.78,240.98,3.0,0.14,15.1,0.085,Unsafe,Safe,Safe
8.94,5.45,88.64,1295.18,16.28,7.72,27.6,0.018,Unsafe,Safe,Unsafe
5.89,6.41,4.72,968.99,7.18,8.75,13.8,0.093,Unsafe,Unsafe,Unsafe
6.89,2.7,96.14,417.14,35.5,6.14,27.9,0.383,Unsafe,Unsafe,Unsafe
8.89,3.34,67.92,855.18,26.69,1.88,27.4,0.203,Unsafe,Unsafe,Unsafe
8.53,8.19,63.14,814.99,7.19,2.85,12.4,0.436,Unsafe,Safe,Unsafe
8.36,5.21,27.06,1000.38,0.46,4.76,26.9,0.262,Unsafe,Safe,Safe
6.4,12.03,24.88,388.12,40.41,9.54,27.4,0.011,Unsafe,Safe,Unsafe
6.1,2.18,94.21,1303.38,8.81,2.47,16.9,0.358,Unsafe,Unsafe,Safe
7.84,6.55,29.83,498.58,30.31,7.32,11.3,0.055,Unsafe,Safe,Unsafe
8.75,6.05,77.55,1056.49,16.85,4.39,20.6,0.395,Unsafe,Safe,Unsafe
7.45,2.23,39.31,73.38,29.27,2.98,32.6,0.084,Unsafe,Unsafe,Safe
7.5,3.49,13.93,590.35,15.78,4.56,24.2,0.173,Unsafe,Unsafe,Safe
6.48,6.96,1.07,559.98,4.35,0.71,10.2,0.381,Unsafe,Safe,Safe
8.19,7.91,54.43,838.05,11.15,7.99,25.5,0.477,Unsafe,Safe,Unsafe
6.15,6.85,97.58,155.47,9.4,2.43,17.8,0.186,Unsafe,Safe,Safe
6.63,8.37,36.91,1195.69,21.4,7.25,22.7,0.415,Unsafe,Safe,Unsafe
6.99,9.14,35.72,365.78,32.91,0.68,27.0,0.095,Unsafe,Safe,Unsafe
7.28,2.12,34.41,1031.7,13.19,9.55,20.4,0.404,Unsafe,Unsafe,Unsafe
6.35,7.57,52.05,1214.66,0.6,1.93,29.4,0.329,Unsafe,Safe,Safe
5.9,13.56,44.07,864.72,25.95,8.83,26.7,0.096,Unsafe,Unsafe,Unsafe
7.64,8.23,87.99,1124.28,30.29,8.09,23.5,0.151,Unsafe,Safe,Unsafe
6.51,10.13,50.55,1009.7,48.14,9.68,9.5,0.066,Unsafe,Safe,Unsafe
7.53,5.74,50.78,565.52,29.47,4.78,30.1,0.191,Unsafe,Safe,Safe
6.04,11.29,13.84,1222.84,23.56,7.27,33.1,0.102,Unsafe,Safe,Unsafe
7.18,11.28,98.27,477.32,28.67,3.71,9.1,0.322,Unsafe,Safe,Safe
7.36,8.26,25.0,878.26,46.4,1.84,19.6,0.497,Unsafe,Safe,Unsafe
5.68,13.71,7.34,1130.83,41.42,4.43,12.8,0.006,Unsafe,Unsafe,Unsafe
6.68,3.51,66.31,599.49,16.15,1.66,27.6,0.27,Unsafe,Unsafe,Safe
5.97,2.2,59.54,489.01,11.86,9.82,26.6,0.287,Unsafe,Unsafe,Unsafe
5.72,11.24,41.51,716.05,13.13,0.96,9.2,0.457,Unsafe,Unsafe,Safe
8.96,11.69,42.22,1236.05,25.22,5.89,31.3,0.253,Unsafe,Safe,Unsafe
6.63,3.44,78.51,1398.39,37.2,6.26,10.4,0.272,Unsafe,Unsafe,Unsafe
8.33,5.19,19.57,840.37,25.16,5.38,28.9,0.236,Unsafe,Safe,Unsafe
6.39,2.21,82.03,1009.13,3.39,6.62,18.7,0.134,Unsafe,Unsafe,Unsafe
7.89,5.52,64.87,1359.75,36.18,1.16,14.8,0.028,Unsafe,Safe,Unsafe
8.16,11.28,41.9,192.89,40.3,5.55,9.7,0.204,Unsafe,Safe,Unsafe
7.58,8.22,45.8,386.51,14.47,2.87,10.0,0.026,Unsafe,Safe,Safe
7.15,6.18,25.66,1077.91,33.21,9.4,24.9,0.275,Unsafe,Safe,Unsafe
6.94,6.46,75.21,1244.43,21.33,7.62,21.5,0.154,Unsafe,Safe,Unsafe
6.72,2.02,51.29,1292.69,44.46,9.73,8.7,0.267,Unsafe,Unsafe,Unsafe
8.75,5.6,32.09,651.91,42.26,0.38,8.4,0.067,Unsafe,Safe,Unsafe
8.41,9.76,59.61,179.54,26.27,2.85,7.2,0.466,Unsafe,Safe,Safe
8.88,13.69,99.57,684.78,34.58,1.95,27.3,0.447,Unsafe,Safe,Unsafe
5.94,12.16,43.53,384.57,44.17,0.11,26.4,0.095,Unsafe,Unsafe,Unsafe
8.06,2.28,92.07,472.23,24.79,2.42,6.8,0.172,Unsafe,Unsafe,Safe
8.78,12.78,34.5,1169.79,15.66,6.79,21.8,0.307,Unsafe,Safe,Unsafe
6.13,11.4,5.47,159.51,37.68,2.31,7.5,0.048,Unsafe,Safe,Unsafe
5.73,11.36,20.42,1249.99,11.0,5.09,32.1,0.177,Unsafe,Unsafe,Unsafe
8.09,7.5,41.87,670.12,19.43,8.88,32.2,0.126,Unsafe,Safe,Unsafe
7.51,6.78,21.96,914.29,43.29,6.94,25.9,0.458,Unsafe,Safe,Unsafe
8.45,5.63,0.02,180.0,36.22,3.95,32.8,0.426,Unsafe,Safe,Unsafe
5.99,2.79,91.5,539.17,20.19,3.72,29.3,0.29,Unsafe,Unsafe,Safe
8.28,4.74,84.39,180.07,10.74,4.56,29.9,0.26,Unsafe,Safe,Safe
6.21,4.96,74.23,1444.24,17.8,1.77,22.1,0.465,Unsafe,Safe,Safe
6.07,7.81,16.78,1220.53,14.21,6.34,14.2,0.466,Unsafe,Safe,Unsafe
6.07,10.97,12.04,716.47,8.8,3.64,11.5,0.485,Unsafe,Safe,Safe
8.35,7.69,6.76,374.22,37.17,8.52,14.8,0.063,Unsafe,Safe,Unsafe
7.83,2.69,72.4,1403.51,12.6,7.57,23.9,0.08,Unsafe,Unsafe,Unsafe
7.33,13.49,92.88,549.67,22.71,6.11,10.2,0.338,Unsafe,Safe,Unsafe
6.76,13.31,43.05,283.43,19.29,3.64,12.8,0.271,Unsafe,Safe,Safe
8.57,11.42,11.91,866.59,49.1,2.1,19.0,0.009,Unsafe,Safe,Unsafe
6.87,13.9,51.24,1418.47,19.55,7.76,12.0,0.031,Unsafe,Safe,Unsafe
8.36,8.53,34.88,55.55,4.0,4.86,22.7,0.444,Unsafe,Safe,Safe
7.04,13.55,37.48,395.28,4.49,2.25,32.7,0.434,Unsafe,Safe,Safe
6.82,2.91,62.13,1410.75,29.54,1.95,27.4,0.179,Unsafe,Unsafe,Safe
7.12,6.39,71.87,298.07,29.97,1.65,25.0,0.446,Unsafe,Safe,Safe
6.55,4.7,11.06,214.2,20.94,7.77,22.5,0.297,Unsafe,Safe,Unsafe
8.12,4.35,3.56,876.77,21.59,2.29,19.6,0.403,Unsafe,Safe,Safe
7.26,3.69,99.43,1299.67,2.7,5.27,10.6,0.214,Unsafe,Unsafe,Unsafe
6.31,9.47,23.27,741.81,25.83,4.52,31.8,0.057,Unsafe,Safe,Safe
8.65,11.38,5.38,1492.12,25.24,5.8,12.5,0.217,Unsafe,Safe,Unsafe
6.84,8.94,18.99,1034.8,7.48,8.77,7.7,0.229,Unsafe,Safe,Unsafe
7.4,3.76,3.9,157.41,5.19,8.68,27.5,0.275,Unsafe,Unsafe,Unsafe
8.67,11.73,39.18,1489.61,6.18,4.51,10.3,0.053,Unsafe,Safe,Unsafe
7.68,9.63,80.24,641.45,5.05,0.15,16.2,0.496,Unsafe,Safe,Safe
5.91,6.66,34.12,466.73,30.49,4.26,5.8,0.122,Unsafe,Unsafe,Unsafe
8.79,10.09,44.42,858.92,9.82,6.06,9.1,0.099,Unsafe,Safe,Unsafe
7.7,5.12,67.56,491.25,12.57,5.58,10.2,0.263,Unsafe,Safe,Unsafe
6.67,6.14,50.89,175.36,8.68,6.51,6.6,0.269,Unsafe,Safe,Unsafe
5.99,13.01,86.14,52.07,47.89,1.54,24.7,0.22,Unsafe,Unsafe,Unsafe
8.28,5.49,86.6,701.9,42.73,6.47,30.1,0.386,Unsafe,Safe,Unsafe
7.67,7.64,0.99,1263.45,11.52,1.83,16.2,0.258,Unsafe,Safe,Safe
7.37,12.68,77.8,879.86,16.38,7.51,31.2,0.305,Unsafe,Safe,Unsafe
8.63,10.49,46.07,1498.85,10.49,3.39,11.4,0.362,Unsafe,Safe,Unsafe
8.26,2.75,98.88,465.93,24.59,7.1,14.8,0.013,Unsafe,Unsafe,Unsafe
6.03,3.77,48.32,456.66,0.98,0.48,9.5,0.285,Unsafe,Unsafe,Safe
6.59,2.09,98.69,281.64,33.57,4.08,23.6,0.442,Unsafe,Unsafe,Unsafe
6.37,9.57,75.46,287.89,26.16,7.05,17.6,0.009,Unsafe,Safe,Unsafe
8.1,7.37,24.86,463.52,44.93,2.27,23.4,0.203,Unsafe,Safe,Unsafe
5.62,3.61,53.84,1199.62,8.22,7.95,27.9,0.463,Unsafe,Unsafe,Unsafe
7.49,13.5,99.21,1363.35,40.21,6.31,21.4,0.177,Unsafe,Safe,Unsafe
8.17,8.36,85.75,1463.88,39.6,5.88,23.8,0.229,Unsafe,Safe,Unsafe
8.57,4.9,9.74,386.82,6.36,3.54,33.1,0.491,Unsafe,Safe,Unsafe
6.7,8.01,70.64,1327.88,19.93,4.82,14.0,0.1,Unsafe,Safe,Safe
8.37,10.16,34.56,525.97,8.51,5.97,15.8,0.033,Unsafe,Safe,Unsafe
5.89,2.91,0.7,213.62,12.74,4.72,26.5,0.43,Unsafe,Unsafe,Safe
8.46,5.3,40.35,1311.54,13.16,6.98,23.3,0.434,Unsafe,Safe,Unsafe
5.95,11.68,23.48,972.35,27.81,4.34,10.4,0.236,Unsafe,Unsafe,Safe
6.89,7.52,81.89,288.86,20.57,2.02,16.3,0.257,Unsafe,Safe,Safe
8.29,8.56,33.73,673.26,47.39,2.14,19.0,0.418,Unsafe,Safe,Unsafe
6.02,7.19,82.75,466.52,6.32,0.06,17.6,0.369,Unsafe,Safe,Safe
6.3,2.53,0.06,1118.35,48.68,3.01,10.3,0.133,Unsafe,Unsafe,Unsafe
8.03,3.99,30.78,707.45,11.53,7.49,32.7,0.008,Unsafe,Unsafe,Unsafe
8.02,7.35,24.12,1484.46,38.64,7.94,27.9,0.24,Unsafe,Safe,Unsafe
7.74,4.51,23.36,129.38,16.95,2.02,19.4,0.429,Unsafe,Safe,Safe
7.93,2.6,6.82,564.77,7.15,9.59,25.4,0.448,Unsafe,Unsafe,Unsafe
7.4,12.12,18.71,748.76,42.89,5.02,31.9,0.478,Unsafe,Safe,Unsafe
6.38,13.77,55.55,779.54,15.44,9.17,9.1,0.44,Unsafe,Safe,Unsafe
6.71,11.52,29.14,508.11,32.94,7.07,12.5,0.29,Unsafe,Safe,Unsafe
6.14,12.25,41.74,1107.4,28.32,7.22,21.3,0.222,Unsafe,Safe,Unsafe
8.68,4.9,37.69,1318.38,23.59,0.85,29.0,0.387,Unsafe,Safe,Unsafe
7.54,13.53,87.59,1411.14,24.79,2.2,6.1,0.37,Unsafe,Safe,Safe
6.9,4.36,90.53,1217.39,36.61,0.09,34.5,0.269,Unsafe,Safe,Unsafe
7.12,13.42,49.3,1283.34,4.39,7.16,18.6,0.044,Unsafe,Safe,Unsafe
8.82,13.94,33.02,848.29,33.41,3.44,15.8,0.463,Unsafe,Safe,Unsafe
6.04,10.54,10.68,1247.54,44.79,7.87,13.8,0.228,Unsafe,Safe,Unsafe
7.55,13.77,95.34,490.08,2.89,3.39,10.2,0.182,Unsafe,Safe,Safe
7.27,8.83,6.02,627.79,7.03,8.19,28.7,0.315,Unsafe,Safe,Unsafe
7.64,5.11,29.77,509.52,35.83,1.31,33.7,0.337,Unsafe,Safe,Unsafe
5.56,7.24,29.81,727.71,21.86,1.73,17.4,0.105,Unsafe,Unsafe,Safe
8.55,9.12,32.04,464.09,20.18,3.41,33.6,0.418,Unsafe,Safe,Unsafe
8.76,2.88,16.43,1444.34,6.85,4.08,29.7,0.145,Unsafe,Unsafe,Unsafe
7.48,9.47,78.32,503.62,25.34,3.49,19.4,0.093,Unsafe,Safe,Safe
7.94,13.77,12.25,192.16,6.33,7.64,25.2,0.203,Unsafe,Safe,Unsafe
8.73,4.28,63.49,813.88,23.83,0.97,18.0,0.365,Unsafe,Safe,Unsafe
7.98,11.51,12.38,132.79,38.18,3.51,21.8,0.483,Unsafe,Safe,Unsafe
6.03,12.89,7.05,210.29,12.91,8.37,6.7,0.405,Unsafe,Safe,Unsafe
7.52,13.32,90.94,368.11,24.04,0.67,25.9,0.47,Unsafe,Safe,Safe
7.62,13.52,19.01,723.31,49.6,9.42,6.6,0.07,Unsafe,Safe,Unsafe
6.98,8.26,82.13,678.21,34.33,9.86,29.5,0.036,Unsafe,Safe,Unsafe
8.08,13.73,54.46,1209.55,42.07,0.89,29.7,0.279,Unsafe,Safe,Unsafe
8.77,11.09,7.79,1122.24,20.74,2.91,12.1,0.145,Unsafe,Safe,Unsafe
8.74,3.94,95.54,668.16,38.39,3.72,14.7,0.414,Unsafe,Unsafe,Unsafe
7.08,7.72,24.7,533.87,2.03,7.76,19.4,0.336,Unsafe,Safe,Unsafe
5.9,10.62,85.96,508.88,6.15,5.96,22.9,0.485,Unsafe,Unsafe,Unsafe
8.95,4.97,16.88,1172.29,10.15,6.44,13.6,0.127,Unsafe,Safe,Unsafe
8.44,9.69,85.39,125.5,20.1,7.58,22.8,0.243,Unsafe,Safe,Unsafe
5.94,10.0,1.32,68.59,42.29,1.18,13.9,0.251,Unsafe,Unsafe,Unsafe
8.72,3.95,51.18,1203.54,17.31,8.33,6.7,0.12,Unsafe,Unsafe,Unsafe
8.54,8.78,76.94,741.86,32.73,7.06,5.1,0.295,Unsafe,Safe,Unsafe
7.32,11.26,93.48,239.78,35.47,5.77,8.0,0.222,Unsafe,Safe,Unsafe
7.57,7.99,90.92,391.57,29.31,8.9,28.8,0.223,Unsafe,Safe,Unsafe
6.9,2.15,81.96,1402.13,17.86,7.0,33.8,0.181,Unsafe,Unsafe,Unsafe
5.69,2.11,88.82,1296.28,28.85,2.02,17.8,0.008,Unsafe,Unsafe,Safe
6.67,6.28,19.92,1079.19,17.11,4.3,20.4,0.261,Unsafe,Safe,Safe
8.31,13.11,28.42,749.23,4.19,4.94,9.4,0.168,Unsafe,Safe,Safe
5.52,4.74,28.9,804.47,49.64,0.55,21.5,0.001,Unsafe,Unsafe,Unsafe
6.67,9.61,37.71,1464.1,6.36,9.55,9.3,0.154,Unsafe,Safe,Unsafe
6.89,4.66,39.33,1450.37,3.62,1.29,23.3,0.139,Unsafe,Safe,Safe
7.38,5.86,54.46,362.14,43.93,6.97,33.0,0.197,Unsafe,Safe,Unsafe
8.72,12.18,15.99,1226.1,15.09,5.06,10.9,0.066,Unsafe,Safe,Unsafe
6.71,10.75,69.12,336.0,32.51,0.26,27.9,0.254,Unsafe,Safe,Unsafe
6.71,3.14,16.76,359.63,16.45,9.25,5.7,0.346,Unsafe,Unsafe,Unsafe
8.08,7.14,31.03,1030.33,19.57,8.52,16.3,0.315,Unsafe,Safe,Unsafe
7.08,2.35,50.33,637.25,13.11,5.24,8.3,0.402,Unsafe,Unsafe,Unsafe
6.29,7.77,79.64,1400.74,17.15,2.29,15.6,0.226,Unsafe,Safe,Safe
7.08,9.95,73.95,179.06,20.54,1.22,10.2,0.26,Unsafe,Safe,Safe
5.99,3.42,64.55,791.71,36.02,3.63,16.2,0.405,Unsafe,Unsafe,Unsafe
6.12,5.47,15.58,1381.86,25.58,2.55,17.5,0.214,Unsafe,Safe,Safe
7.24,6.77,54.7,1360.96,47.18,5.07,14.0,0.351,Unsafe,Safe,Unsafe
6.97,13.03,8.74,276.97,2.09,9.66,24.7,0.217,Unsafe,Safe,Unsafe
8.7,13.92,37.74,581.62,25.15,5.75,32.6,0.209,Unsafe,Safe,Unsafe
6.77,2.54,41.35,947.73,29.21,8.9,17.0,0.38,Unsafe,Unsafe,Unsafe
7.53,11.13,3.98,281.12,46.01,6.51,10.8,0.087,Unsafe,Safe,Unsafe
7.71,6.46,27.4,1453.63,2.46,4.75,13.1,0.169,Unsafe,Safe,Safe
5.55,6.71,95.56,1376.39,28.67,8.55,30.6,0.112,Unsafe,Unsafe,Unsafe
7.82,11.05,95.36,292.08,42.68,4.71,22.1,0.18,Unsafe,Safe,Unsafe
6.12,13.02,35.23,225.68,12.1,8.69,18.7,0.115,Unsafe,Safe,Unsafe
8.86,13.41,4.31,173.84,43.81,2.92,9.5,0.29,Unsafe,Safe,Unsafe
6.02,8.93,17.91,1368.69,0.95,1.29,18.5,0.399,Unsafe,Safe,Safe
6.95,6.29,39.22,330.75,36.62,8.55,13.4,0.393,Unsafe,Safe,Unsafe
5.8,11.45,94.78,653.61,46.66,5.87,33.3,0.182,Unsafe,Unsafe,Unsafe
8.99,5.01,14.12,700.83,32.86,8.89,31.5,0.494,Unsafe,Safe,Unsafe
7.26,8.77,76.35,918.57,21.95,9.38,7.5,0.297,Unsafe,Safe,Unsafe
7.58,6.3,10.87,154.02,2.24,0.54,20.5,0.2,Unsafe,Safe,Safe
5.73,9.88,98.13,378.8,46.01,5.01,11.8,0.418,Unsafe,Unsafe,Unsafe
8.12,4.88,38.16,1400.66,23.51,3.75,17.3,0.365,Unsafe,Safe,Safe
6.23,4.3,77.52,1367.19,1.45,6.26,31.3,0.375,Unsafe,Safe,Unsafe
8.64,13.02,34.26,1182.87,34.49,7.94,20.8,0.098,Unsafe,Safe,Unsafe
6.22,3.22,62.77,78.13,24.09,2.81,15.0,0.234,Unsafe,Unsafe,Safe
6.17,8.07,19.2,524.16,6.22,5.57,11.2,0.431,Unsafe,Safe,Unsafe
